# Time (s),Ang (°),Vel (°/s)
0.000,172.771,-0.511
0.017,172.741,-0.466
0.033,172.768,-0.647
0.050,172.738,-0.606
0.067,172.758,-0.769
0.083,172.677,-0.732
0.100,172.695,-0.879
0.117,172.621,-0.846
0.133,172.638,-0.978
0.150,172.571,-0.948
0.167,172.586,-1.067
0.183,172.525,-1.040
0.200,172.539,-1.144
0.217,172.485,-1.351
0.233,172.497,-1.353
0.250,172.448,-1.529
0.267,172.459,-1.368
0.283,172.415,-1.526
0.300,172.425,-1.366
0.317,172.385,-1.508
0.333,172.394,-1.364
0.350,172.360,-1.491
0.367,172.318,-1.362
0.383,172.287,-1.477
0.400,172.249,-1.360
0.417,172.221,-1.464
0.433,172.187,-1.358
0.450,172.166,-1.452
0.467,172.135,-1.357
0.483,172.116,-1.441
0.500,172.089,-1.356
0.517,172.071,-1.431
0.533,172.047,-1.358
0.550,172.031,-1.276
0.567,172.009,-1.210
0.583,171.995,-1.136
0.600,171.975,-1.077
0.617,171.963,-1.010
0.633,171.945,-0.969
0.650,171.933,-1.234
0.667,171.917,-1.197
0.683,171.907,-1.286
0.700,171.892,-1.242
0.717,171.883,-1.644
0.733,171.870,-1.605
0.750,171.862,-1.967
0.767,171.850,-1.932
0.783,171.843,-2.273
0.800,171.724,-2.241
0.817,171.717,-2.549
0.833,171.660,-2.520
0.850,171.658,-2.631
0.867,171.499,-2.621
0.883,171.496,-2.557
0.900,171.353,-2.548
0.917,171.351,-2.490
0.933,171.217,-2.482
0.950,171.216,-2.430
0.967,171.095,-2.423
0.983,171.093,-2.051
1.000,171.040,-2.031
1.017,171.033,-1.846
1.033,171.040,-1.838
1.050,171.034,-1.349
1.067,171.040,-1.342
1.083,171.035,-0.888
1.100,171.040,-0.882
1.117,171.035,-0.297
1.133,171.040,-0.292
1.150,171.040,0.234
1.167,171.045,0.238
1.183,171.045,0.546
1.200,171.049,0.416
1.217,171.049,0.530
1.233,171.057,0.414
1.250,171.057,0.354
1.267,171.118,-0.063
1.283,171.118,-0.117
1.300,171.173,-0.356
1.317,171.173,-0.567
1.333,171.222,-0.633
1.350,171.172,-0.360
1.367,171.217,-0.257
1.383,171.172,0.001
1.400,171.158,0.082
1.417,171.013,0.458
1.433,171.001,0.523
1.450,170.916,0.700
1.467,170.851,0.761
1.483,170.829,0.933
1.500,170.925,0.675
1.517,170.959,0.839
1.533,171.049,0.756
1.550,171.076,0.904
1.567,171.210,0.978
1.583,171.232,1.273
1.600,171.352,1.652
1.617,171.372,1.925
1.633,171.484,2.130
1.650,171.398,2.538
1.667,171.502,2.559
1.683,171.424,2.140
1.700,171.518,1.996
1.717,171.498,1.607
1.733,171.582,1.481
1.750,171.564,0.956
1.767,171.643,0.702
1.783,171.626,0.230
1.800,171.697,0.006
1.817,171.682,-0.436
1.833,171.638,-0.321
1.850,171.625,-0.878
1.867,171.585,-0.774
1.883,171.570,-1.272
1.900,171.529,-1.316
1.917,171.466,-1.898
1.933,171.429,-1.938
1.950,171.374,-2.457
1.967,171.339,-2.491
1.983,171.291,-2.958
2.000,171.209,-2.988
