# Ang (º),Vel (º/s),Time (s)
167.490,-17.468,0.000
166.745,-154.711,0.040
166.046,-141.110,0.080
159.858,-226.186,0.120
154.213,-273.843,0.160
145.166,-197.091,0.200
134.212,-154.634,0.240
126.329,-221.882,0.280
120.143,-198.518,0.320
111.268,-146.036,0.360
103.327,-54.594,0.400
97.486,-76.163,0.440
95.302,-98.883,0.480
92.256,-159.594,0.520
88.300,-66.982,0.560
81.916,-9.709,0.600
79.237,-70.575,0.640
78.849,-103.888,0.680
76.026,-66.362,0.720
71.870,-53.327,0.760
69.216,-96.266,0.800
67.083,-61.305,0.840
63.232,-10.301,0.880
60.780,12.458,0.920
60.368,31.624,0.960
60.866,43.803,1.000
62.131,49.594,1.040
63.883,155.299,1.080
65.867,127.919,1.120
72.079,144.726,1.160
77.196,132.162,1.200
82.985,166.964,1.240
88.271,80.651,1.280
94.950,107.800,1.320
98.176,139.605,1.360
102.488,127.283,1.400
108.072,78.476,1.440
113.163,187.087,1.480
116.302,182.368,1.520
123.786,276.804,1.560
131.081,178.024,1.600
142.153,149.348,1.640
149.274,167.783,1.680
155.248,85.138,1.720
161.959,101.435,1.760
165.365,54.441,1.800
169.422,-7.654,1.840
171.600,35.177,1.880
171.293,-1.222,1.920
172.700,-27.490,1.960
172.652,-9.122,2.000
171.552,-26.074,2.040
171.187,-45.650,2.080
170.144,-44.818,2.120
168.318,-127.091,2.160
166.525,-108.627,2.200
161.442,-205.826,2.240
157.097,-164.016,2.280
148.864,-317.627,2.320
142.303,-196.815,2.360
129.598,-226.130,2.400
121.725,-160.118,2.440
112.680,-60.059,2.480
106.275,-129.231,2.520
103.873,-102.874,2.560
98.704,-66.632,2.600
94.589,-120.800,2.640
91.924,-129.255,2.680
87.092,-59.390,2.720
81.921,-88.161,2.760
79.546,-93.844,2.800
76.019,-51.419,2.840
72.266,-76.243,2.880
70.209,-88.982,2.920
67.159,-51.385,2.960
63.600,-40.055,3.000
61.544,4.996,3.040
59.942,15.886,3.080
60.142,52.841,3.120
60.778,21.574,3.160
62.891,214.103,3.200
63.754,101.815,3.240
72.318,106.083,3.280
76.391,140.141,3.320
80.634,190.917,3.360
86.240,99.046,3.400
93.877,98.546,3.440
97.838,126.526,3.480
101.780,206.140,3.520
106.841,31.278,3.560
115.087,113.162,3.600
116.338,191.547,3.640
120.864,125.758,3.680
