# Time (s),Ang (°),Vel (°/s)
0.000,167.490,-7.396
0.040,166.745,-10.088
0.080,167.415,-14.424
0.120,166.675,-18.326
0.160,166.660,-23.551
0.200,165.429,-28.036
0.240,164.510,-33.103
0.280,162.307,-37.647
0.320,160.692,-42.867
0.360,158.091,-48.021
0.400,155.750,-54.282
0.440,152.615,-57.752
0.480,149.923,-62.826
0.520,146.883,-65.700
0.560,144.157,-69.202
0.600,141.025,-70.319
0.640,137.933,-72.797
0.680,134.846,-73.181
0.720,132.024,-74.001
0.760,128.964,-72.939
0.800,126.009,-72.493
0.840,122.989,-70.882
0.880,120.116,-69.642
0.920,117.014,-66.497
0.960,114.183,-63.465
1.000,111.349,-59.223
1.040,108.851,-55.548
1.080,106.427,-50.147
1.120,104.354,-45.609
1.160,102.371,-39.587
1.200,101.127,-34.216
1.240,99.854,-27.306
1.280,99.312,-21.541
1.320,98.695,-14.006
1.360,98.876,-7.684
1.400,98.643,0.732
1.440,99.237,7.316
1.480,99.586,15.555
1.520,100.630,21.564
1.560,101.258,28.695
1.600,102.946,33.814
1.640,104.240,39.713
1.680,106.866,43.156
1.720,108.744,48.163
1.760,111.704,50.535
1.800,114.065,53.926
1.840,117.070,55.152
1.880,119.601,57.507
1.920,122.523,57.059
1.960,124.770,57.664
2.000,127.541,54.568
2.040,129.558,53.202
2.080,131.942,48.047
2.120,133.721,44.605
2.160,135.762,37.281
2.200,137.181,32.195
2.240,138.839,23.733
2.280,139.607,18.140
2.320,140.664,9.889
2.360,140.533,4.001
2.400,140.828,-3.927
2.440,139.439,-9.610
2.480,138.918,-17.377
2.520,136.763,-23.048
2.560,135.654,-30.136
2.600,133.474,-34.980
2.640,131.959,-41.261
2.680,129.586,-44.592
2.720,127.955,-49.659
2.760,125.336,-51.132
2.800,123.352,-54.723
2.840,120.757,-54.809
2.880,118.619,-56.939
2.920,115.908,-56.510
2.960,113.778,-57.214
3.000,111.033,-55.998
3.040,108.760,-54.760
3.080,106.084,-52.182
3.120,103.878,-49.499
3.160,101.490,-45.848
3.200,99.568,-41.573
3.240,97.630,-37.001
3.280,95.987,-32.154
3.320,95.099,-26.687
3.360,94.027,-20.357
3.400,93.653,-14.886
3.440,93.248,-8.168
3.480,93.675,-2.000
3.520,93.707,4.779
3.560,94.485,11.485
3.600,95.021,18.834
3.640,96.546,24.801
3.680,97.152,31.195
3.720,98.977,36.289
3.760,100.290,41.869
3.800,102.435,45.606
3.840,104.521,50.088
3.880,107.287,52.864
3.920,109.979,55.985
3.960,112.744,56.989
4.000,115.426,59.531
4.040,118.370,59.504
4.080,121.039,60.462
4.120,123.760,59.365
4.160,126.204,57.702
4.200,128.612,54.135
4.240,130.739,49.728
4.280,132.871,44.430
4.320,134.680,38.614
4.360,136.567,32.197
4.400,138.054,25.281
4.440,139.142,18.163
4.480,139.768,11.249
4.520,139.816,3.984
4.560,139.402,-2.742
4.600,138.594,-9.767
4.640,137.688,-16.583
4.680,136.207,-23.422
4.720,134.658,-29.884
4.760,132.953,-35.473
4.800,131.002,-40.813
4.840,129.093,-45.099
4.880,127.011,-48.977
4.920,124.730,-51.997
4.960,122.514,-55.187
5.000,120.124,-56.765
5.040,117.859,-58.311
5.080,115.280,-58.937
5.120,112.756,-58.983
5.160,110.016,-58.674
5.200,107.396,-57.318
5.240,104.576,-54.587
5.280,102.148,-51.915
5.320,99.671,-48.092
5.360,97.591,-44.267
5.400,95.612,-39.244
5.440,93.889,-33.935
5.480,92.620,-28.280
5.520,91.978,-22.387
5.560,91.365,-15.489
